age;workclass;education;marital_status;occupation;relationship;race;gender;capital_gains;capital_losses;hours_per_week;country_self;income_50k
25;private;11th grade;never married;machine operators assmblrs & inspctrs;own child;black;male;0;0;40;united states;<=50k
38;private;high school graduate;married civilian spouse present;farming forestry and fishing;husband;white;male;0;0;50;united states;<=50k
28;local government;associates degree academic program;married civilian spouse present;protective services;husband;white;male;0;0;40;united states;>50k
44;private;some college but no degree;married civilian spouse present;machine operators assmblrs & inspctrs;husband;black;male;7688;0;40;united states;>50k
34;private;10th grade;never married;other service;not in family;white;male;0;0;30;united states;<=50k
63;self employed not incorporated;prof school degree (md dds dvm llb jd);married civilian spouse present;professional specialty;husband;white;male;3103;0;32;united states;>50k
24;private;some college but no degree;never married;other service;unmarried;white;female;0;0;40;united states;<=50k
55;private;7th and 8th grade;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;10;united states;<=50k
65;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;6418;0;40;united states;>50k
36;federal government;bachelors degree(ba ab bs);married civilian spouse present;adm support including clerical;husband;white;male;0;0;40;united states;<=50k
26;private;high school graduate;never married;adm support including clerical;not in family;white;female;0;0;39;united states;<=50k
48;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;3103;0;48;united states;>50k
43;private;masters degree(ma ms meng med msw mba);married civilian spouse present;executive admin and managerial;husband;white;male;0;0;50;united states;>50k
20;state government;some college but no degree;never married;other service;own child;white;male;0;0;25;united states;<=50k
43;private;high school graduate;married civilian spouse present;adm support including clerical;wife;white;female;0;0;30;united states;<=50k
37;private;high school graduate;widowed;machine operators assmblrs & inspctrs;unmarried;white;female;0;0;20;united states;<=50k
34;private;bachelors degree(ba ab bs);married civilian spouse present;technicians and related support;husband;white;male;0;0;47;united states;>50k
34;private;some college but no degree;never married;other service;own child;black;female;0;0;35;united states;<=50k
25;private;bachelors degree(ba ab bs);never married;professional specialty;not in family;white;male;0;0;43;peru;<=50k
25;private;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;<=50k
45;self employed not incorporated;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;7298;0;90;united states;>50k
22;private;high school graduate;never married;adm support including clerical;own child;white;male;0;0;20;united states;<=50k
23;private;high school graduate;separated;machine operators assmblrs & inspctrs;unmarried;black;male;0;0;54;united states;<=50k
54;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;35;united states;<=50k
32;self employed not incorporated;some college but no degree;never married;professional specialty;not in family;white;male;0;0;60;united states;<=50k
46;state government;some college but no degree;married civilian spouse present;executive admin and managerial;husband;black;male;7688;0;38;united states;>50k
56;self employed not incorporated;11th grade;widowed;other service;unmarried;white;female;0;0;50;united states;<=50k
24;self employed not incorporated;bachelors degree(ba ab bs);never married;sales;not in family;white;male;0;0;50;united states;<=50k
23;local government;some college but no degree;married civilian spouse present;protective services;husband;white;male;0;0;40;united states;<=50k
26;private;high school graduate;divorced;executive admin and managerial;unmarried;white;female;0;0;40;united states;<=50k
36;local government;bachelors degree(ba ab bs);married civilian spouse present;professional specialty;husband;white;male;0;0;40;united states;>50k
22;private;5th or 6th grade;never married;private household services;not in family;white;male;0;0;50;guatemala;<=50k
17;private;10th grade;never married;machine operators assmblrs & inspctrs;not in family;white;male;0;0;40;united states;<=50k
20;private;high school graduate;never married;precision production craft & repair;own child;white;male;0;0;40;united states;<=50k
65;private;masters degree(ma ms meng med msw mba);married civilian spouse present;professional specialty;husband;white;male;0;0;50;united states;>50k
44;self employed incorporated;associates degree occup /vocational;married civilian spouse present;sales;husband;white;male;0;0;45;united states;>50k
36;private;high school graduate;married civilian spouse present;farming forestry and fishing;husband;white;male;0;0;40;united states;<=50k
29;private;11th grade;married civilian spouse present;other service;husband;white;male;0;0;40;united states;<=50k
20;state government;some college but no degree;never married;farming forestry and fishing;own child;white;male;0;0;32;united states;<=50k
28;private;associates degree occup /vocational;married civilian spouse present;professional specialty;wife;white;female;0;0;36;united states;>50k
39;private;7th and 8th grade;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;mexico;<=50k
54;private;some college but no degree;married civilian spouse present;transportation and material moving;husband;white;male;3908;0;50;united states;<=50k
52;private;11th grade;separated;private household services;not in family;black;female;0;0;18;united states;<=50k
56;self employed incorporated;high school graduate;widowed;executive admin and managerial;not in family;white;female;0;0;50;united states;<=50k
18;private;some college but no degree;never married;other service;own child;white;male;0;0;20;united states;<=50k
39;private;high school graduate;divorced;handlers equip cleaners etc;own child;black;male;0;0;40;united states;<=50k
21;private;some college but no degree;never married;other service;own child;white;female;0;1721;24;united states;<=50k
22;private;high school graduate;never married;other service;not in family;white;male;14084;0;60;united states;>50k
38;private;9th grade;married spouse absent;executive admin and managerial;not in family;white;male;0;0;54;mexico;<=50k
21;private;some college but no degree;never married;adm support including clerical;own child;white;female;0;0;40;united states;<=50k
63;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
34;local government;bachelors degree(ba ab bs);married civilian spouse present;executive admin and managerial;husband;white;male;3103;0;50;united states;>50k
42;self employed incorporated;high school graduate;married civilian spouse present;executive admin and managerial;husband;white;male;5178;0;50;united states;>50k
33;private;high school graduate;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;<=50k
30;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;female;0;0;50;united states;<=50k
39;private;some college but no degree;divorced;sales;not in family;white;male;0;0;40;united states;<=50k
26;private;masters degree(ma ms meng med msw mba);never married;executive admin and managerial;not in family;white;female;0;0;40;united states;<=50k
33;private;high school graduate;never married;machine operators assmblrs & inspctrs;own child;white;female;0;0;40;united states;<=50k
47;local government;high school graduate;divorced;adm support including clerical;not in family;white;female;0;0;40;united states;<=50k
41;self employed incorporated;associates degree academic program;married civilian spouse present;precision production craft & repair;husband;white;male;15024;0;60;united states;>50k
19;private;some college but no degree;never married;other service;own child;white;male;0;0;20;united states;<=50k
46;private;high school graduate;separated;transportation and material moving;not in family;white;male;0;0;40;united states;<=50k
43;private;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;48;united states;<=50k
55;private;some college but no degree;married civilian spouse present;executive admin and managerial;husband;white;male;15024;0;45;united states;>50k
46;private;associates degree occup /vocational;married civilian spouse present;technicians and related support;husband;white;male;0;0;40;united states;<=50k
30;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;40;mexico;<=50k
21;private;some college but no degree;separated;handlers equip cleaners etc;not in family;white;female;0;0;40;united states;<=50k
46;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;other;male;0;0;40;dominican republic;<=50k
41;private;high school graduate;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;50;united states;<=50k
69;self employed incorporated;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;30;united states;<=50k
50;private;high school graduate;married civilian spouse present;transportation and material moving;husband;white;male;0;0;40;united states;<=50k
20;private;some college but no degree;never married;adm support including clerical;not in family;white;female;0;0;40;united states;<=50k
45;self employed incorporated;some college but no degree;married civilian spouse present;machine operators assmblrs & inspctrs;husband;white;male;0;0;50;united states;<=50k
23;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;male;0;0;40;united states;<=50k
24;private;some college but no degree;separated;other service;not in family;white;male;0;1876;40;united states;<=50k
31;self employed not incorporated;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;50;united states;<=50k
43;private;high school graduate;separated;machine operators assmblrs & inspctrs;not in family;white;female;0;0;44;united states;<=50k
20;federal government;11th grade;never married;other service;own child;white;female;0;0;10;united states;<=50k
55;private;high school graduate;married civilian spouse present;sales;husband;white;male;0;0;56;united states;>50k
24;federal government;some college but no degree;never married;armed forces;not in family;white;male;0;0;40;united states;<=50k
59;private;bachelors degree(ba ab bs);never married;executive admin and managerial;not in family;white;female;0;0;25;united states;<=50k
49;federal government;7th and 8th grade;never married;other service;not in family;black;male;0;0;20;united states;<=50k
33;private;masters degree(ma ms meng med msw mba);married civilian spouse present;professional specialty;wife;white;female;5178;0;10;united states;>50k
59;federal government;bachelors degree(ba ab bs);divorced;adm support including clerical;not in family;white;male;0;0;40;united states;<=50k
34;private;masters degree(ma ms meng med msw mba);never married;other service;not in family;amer indian aleut or eskimo;male;0;0;40;united states;<=50k
20;private;high school graduate;never married;handlers equip cleaners etc;own child;white;male;0;0;40;united states;<=50k
25;private;bachelors degree(ba ab bs);never married;executive admin and managerial;own child;white;female;0;0;40;united states;<=50k
49;private;10th grade;married civilian spouse present;farming forestry and fishing;husband;white;male;0;0;40;united states;<=50k
59;private;high school graduate;married civilian spouse present;transportation and material moving;husband;white;male;0;0;40;united states;>50k
20;private;high school graduate;never married;adm support including clerical;not in family;white;female;0;0;40;united states;<=50k
33;private;some college but no degree;never married;adm support including clerical;unmarried;black;female;0;0;35;united states;<=50k
22;private;some college but no degree;never married;transportation and material moving;own child;black;male;0;0;39;united states;<=50k
58;self employed not incorporated;9th grade;widowed;other service;not in family;white;female;0;0;40;united states;<=50k
52;local government;high school graduate;widowed;adm support including clerical;unmarried;white;female;0;0;28;united states;<=50k
36;private;10th grade;separated;machine operators assmblrs & inspctrs;not in family;white;female;0;0;40;united states;<=50k
41;local government;high school graduate;married civilian spouse present;protective services;husband;white;male;0;0;40;united states;<=50k
28;private;high school graduate;never married;transportation and material moving;own child;white;male;2597;0;40;united states;<=50k
19;private;some college but no degree;never married;handlers equip cleaners etc;own child;black;male;0;0;16;united states;<=50k
18;private;high school graduate;never married;other service;not in family;white;female;0;0;28;united states;<=50k
18;private;high school graduate;never married;machine operators assmblrs & inspctrs;own child;white;female;0;0;48;united states;<=50k
28;private;some college but no degree;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
29;private;associates degree occup /vocational;married civilian spouse present;executive admin and managerial;husband;white;male;0;0;40;united states;>50k
40;private;some college but no degree;married civilian spouse present;handlers equip cleaners etc;husband;white;male;0;0;40;united states;<=50k
26;private;high school graduate;never married;handlers equip cleaners etc;unmarried;white;male;0;0;40;united states;<=50k
46;private;high school graduate;married civilian spouse present;precision production craft & repair;husband;white;male;0;0;40;united states;<=50k
23;private;11th grade;never married;other service;not in family;white;female;0;0;24;united states;<=50k
44;private;high school graduate;married spouse absent;adm support including clerical;unmarried;white;female;0;0;40;united states;<=50k
43;private;bachelors degree(ba ab bs);divorced;sales;unmarried;white;female;0;0;40;united states;>50k
31;local government;bachelors degree(ba ab bs);divorced;professional specialty;unmarried;white;female;0;0;60;united states;<=50k
18;private;some college but no degree;never married;sales;own child;white;female;0;0;25;united states;<=50k
19;private;some college but no degree;never married;protective services;own child;white;male;0;0;30;united states;<=50k
