"workclass";"education";"marital_status";"major_ind_code";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"det_hh_summ";"fam_under_18";"country_self";"year";"income_50k";"YoB"
"self employed not incorporated";"some college but no degree";"divorced";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"arkansas";"householder";;"united states";94;"<=50k";36
"private";"some college but no degree";"married civilian spouse present";"entertainment";"professional specialty";"amer indian aleut or eskimo";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";47
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"male";"children or armed forces";5178;0;;"householder";;"united states";94;"<=50k";52
"private";"high school graduate";"never married";"construction";"handlers equip cleaners etc";"white";"female";"unemployed full time";0;0;;"nonrelative of householder";;"united states";95;"<=50k";67
"local government";"some college but no degree";"married civilian spouse present";"education";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";48
"private";"some college but no degree";"married civilian spouse present";"construction";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";60
"private";"some college but no degree";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";43
"private";"high school graduate";"divorced";"business and repair services";"other service";"white";"female";"children or armed forces";0;1590;;"householder";;"columbia";94;"<=50k";48
"private";"bachelors degree(ba ab bs)";"never married";"manufacturing nondurable goods";"professional specialty";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";69
"private";"bachelors degree(ba ab bs)";"never married";"personal services except private hh";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";48
"private";"high school graduate";"married civilian spouse present";"manufacturing durable goods";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";60
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";67
"private";"some college but no degree";"married civilian spouse present";"finance insurance and real estate";"adm support including clerical";"white";"female";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";39
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"other professional services";"professional specialty";"white";"male";"children or armed forces";0;1977;;"householder";;"united states";94;"<=50k";48
"private";"some college but no degree";"married civilian spouse present";"mining";"precision production craft & repair";"white";"male";"full time schedules";0;0;;"spouse of householder";;"united states";95;"<=50k";58
"private";"bachelors degree(ba ab bs)";"never married";"construction";"executive admin and managerial";"white";"male";"children or armed forces";0;1669;;"nonrelative of householder";;"united states";94;"<=50k";57
"private";"less than 1st grade";"married civilian spouse present";"manufacturing nondurable goods";"precision production craft & repair";"other";"male";"unemployed full time";0;0;;"householder";;"mexico";95;"<=50k";32
"federal government";"some college but no degree";"married civilian spouse present";"transportation";"adm support including clerical";"white";"female";"unemployed part  time";0;0;;"spouse of householder";;"united states";95;"<=50k";61
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"construction";"precision production craft & repair";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";48
"private";"high school graduate";"never married";"other professional services";"adm support including clerical";"white";"female";"children or armed forces";0;0;;"child 18 or older";;"united states";94;"<=50k";69
"private";"high school graduate";"separated";"wholesale trade";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;;"householder";;"peru";94;"<=50k";48
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"finance insurance and real estate";"executive admin and managerial";"white";"male";"children or armed forces";0;0;;"householder";;"united states";94;"<=50k";55
"federal government";"associates degree academic program";"married civilian spouse present";"public administration";"professional specialty";"white";"male";"pt for non econ reasons usually ft";0;0;;"householder";;"united states";95;"<=50k";53
"self employed not incorporated";"7th and 8th grade";"married civilian spouse present";"retail trade";"sales";"white";"female";"children or armed forces";0;0;;"spouse of householder";;"united states";94;"<=50k";28
"private";"high school graduate";"never married";"retail trade";"other service";"white";"female";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";63
"private";"some college but no degree";"married civilian spouse present";"business and repair services";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;;"householder";;"united states";95;"<=50k";29
"private";"high school graduate";"married civilian spouse present";"retail trade";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"kansas";"householder";;"united states";94;"<=50k";58
"private";"high school graduate";"married civilian spouse present";"manufacturing nondurable goods";"adm support including clerical";"white";"male";"full time schedules";2829;0;;"householder";;"united states";95;"<=50k";58
