"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"self employed not incorporated";"some college but no degree";"divorced";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"arkansas";"adult";"united states";"<=50k";58;"husband"
"private";"some college but no degree";"married civilian spouse present";"professional specialty";"amer indian aleut or eskimo";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";48;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";5178;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";28;"unmarried"
"local government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"wife"
"private";"some college but no degree";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";51;"husband"
"private";"high school graduate";"divorced";"other service";"white";"female";"children or armed forces";0;1590;"nonmover";"adult";"columbia";"<=50k";46;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";26;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";47;"husband"
"private";"high school graduate";"married civilian spouse present";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";35;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";27;"husband"
"private";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";56;"wife"
"private";"masters degree(ma ms meng med msw mba)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;1977;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"male";"children or armed forces";0;1669;"nonmover";"adult";"united states";"<=50k";37;"unmarried"
"private";"less than 1st grade";"married civilian spouse present";"precision production craft & repair";"other";"male";"unemployed full time";0;0;"nonmover";"adult";"mexico";"<=50k";63;"husband"
"federal government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"female";"unemployed part  time";0;0;"nonmover";"adult";"united states";"<=50k";34;"wife"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";46;"husband"
"private";"high school graduate";"never married";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"high school graduate";"separated";"handlers equip cleaners etc";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"peru";"<=50k";46;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
"federal government";"associates degree academic program";"married civilian spouse present";"professional specialty";"white";"male";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";42;"husband"
"self employed not incorporated";"7th and 8th grade";"married civilian spouse present";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";66;"wife"
"private";"high school graduate";"never married";"other service";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"some college but no degree";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";66;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"kansas";"adult";"united states";"<=50k";36;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";2829;0;"nonmover";"adult";"united states";"<=50k";37;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";42;"wife"
"self employed incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";42;"husband"
"private";"high school graduate";"separated";"private household services";"amer indian aleut or eskimo";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";61;"husband"
"private";"associates degree academic program";"married civilian spouse present";"precision production craft & repair";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";41;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"sales";"white";"male";"children or armed forces";3464;0;"nonmover";"adult";"united states";"<=50k";39;"husband"
